Time, Torque, Angle
1.04775,1.5695217,0.625
1.04975,1.576487,0.625
1.0517501,1.5718435,0.625
1.05375,1.5718435,0.625
1.05575,1.5741652,0.625
1.05775,1.5788087,0.625
1.05975,1.5811306,0.625
1.06175,1.5718435,0.625
1.06375,1.5718435,0.625
1.06575,1.5625564,0.625
1.06775,1.6252443,0.625
1.0697501,1.6647146,0.625
1.07175,1.6809671,0.625
1.07375,1.6740018,0.75
1.07575,1.6670363,0.75
1.07775,1.6740018,0.75
1.0797501,1.7157936,0.75
1.08175,1.7599075,0.75
1.08375,1.7900906,0.875
1.08575,1.8086648,0.875
1.0877501,1.827239,0.875
1.08975,1.8481351,0.875
1.09175,1.8736746,0.875
1.09375,1.8876052,0.875
1.09575,1.9038577,0.875
1.0977501,1.9177883,0.875
1.09975,1.9247537,0.875
1.10175,1.9386843,0.875
1.10375,1.9502933,1
1.10575,1.9688675,1
1.10775,1.9781547,1
1.10975,2.0013723,1
1.11175,2.015303,1
1.11375,2.0199466,1.25
1.1157501,2.0292337,1.25
1.11775,2.0431643,1.25
1.11975,2.045486,1.25
1.12175,2.057095,1.25
1.12375,2.0710256,1.375
1.1257501,2.075669,1.375
1.12775,2.0919216,1.375
1.12975,2.1058524,1.375
1.13175,2.1128178,1.375
1.13375,2.1151395,1.5
1.13575,2.1267483,1.5
1.13775,2.1476443,1.5
1.13975,2.1592531,1.5
1.14175,2.1778276,1.5
1.1437501,2.191758,1.75
1.14575,2.2103324,1.75
1.14775,2.226585,1.75
1.14975,2.245159,1.75
1.15175,2.2706985,1.75
1.1537501,2.29856,1.875
1.15575,2.3310647,1.875
1.15775,2.3658915,1.875
1.15975,2.4076834,1.875
1.16175,2.4425101,1.875
1.16375,2.4680495,2.125
1.16575,2.5144851,2.125
1.16775,2.5516336,2.125
1.16975,2.5841386,2.125
1.1717501,2.621287,2.125
1.17375,2.6746879,2.375
1.17575,2.7002275,2.375
1.17775,2.7443411,2.375
1.17975,2.788455,2.375
1.18175,2.8279252,2.375
1.18375,2.862752,2.625
1.18575,2.923118,2.625
1.18775,2.9765189,2.625
1.1897501,3.0322416,2.625
1.19175,3.090286,2.625
1.19375,3.1576173,2.875
1.19575,3.1994095,2.875
1.19775,3.2504885,2.875
1.1997501,3.296924,2.875
1.20175,3.3363945,2.875
1.20375,3.3665776,3.125
1.20575,3.4339092,3.125
1.20775,3.4942753,3.125
1.20975,3.5616071,3.125
1.21175,3.6312602,3.125
1.21375,3.7102008,3.5
1.21575,3.7612798,3.5
1.2177501,3.8239677,3.5
1.21975,3.8796904,3.5
1.22175,3.9400568,3.5
1.22375,4.012032,3.875
1.22575,4.072398,3.875
1.2277501,4.1466947,3.875
1.22975,4.21867,3.875
1.23175,4.299932,3.875
1.23375,4.364942,4.25
1.23575,4.460135,4.25
1.23775,4.541397,4.25
1.23975,4.63659,4.25
1.24175,4.7248178,4.25
1.24375,4.8107233,4.625
1.2457501,4.887342,4.75
1.24775,4.952352,4.75
1.24975,5.001109,4.75
1.25175,5.0614758,4.75
1.25375,5.1079106,5.125
1.2557501,5.1729207,5.125
1.25775,5.2332873,5.125
1.25975,5.2959747,5.125
1.26175,5.3493757,5.125
1.2637501,5.400455,5.5
1.26575,5.4515343,5.5
1.26775,5.5002913,5.5
1.26975,5.546727,5.5
1.27175,5.5908403,5.5
1.2737501,5.644242,6
1.27575,5.6674595,6
1.27775,5.7046075,6
1.27975,5.7278256,6
1.28175,5.753365,6
1.28375,5.783548,6.5
1.28575,5.7905135,6.5
1.28775,5.7998004,6.5
1.28975,5.8183746,6.5
1.2917501,5.839271,6.5
1.29375,5.869454,7
1.29575,5.869454,7
1.29775,5.8810625,7
1.29975,5.888028,7
1.3017501,5.899637,7
1.30375,5.918211,7.5
1.30575,5.918211,7.5
1.30775,5.9298196,7.5
1.30975,5.9391074,7.5
1.31175,5.9460726,7.5
1.31375,5.9600034,8.125
1.31575,5.948395,8.125
1.31775,5.948395,8.125
1.3197501,5.948395,8.125
1.32175,5.9530377,8.125
1.32375,5.950716,8.625
1.32575,5.9576817,8.625
1.32775,5.964647,8.625
1.3297501,5.9600034,8.625
1.33175,5.95536,8.625
1.33375,5.950716,9.25
1.33575,5.9576817,9.25
1.3377501,5.9576817,9.25
1.33975,5.964647,9.25
1.34175,5.9716125,9.25
1.34375,5.9669685,9.875
1.34575,5.9739337,9.875
1.3477501,5.9739337,9.875
1.34975,5.9762554,9.875
1.35175,5.9739337,9.875
1.35375,5.9878645,10.5
1.35575,5.978577,10.5
1.35775,5.9878645,10.5
1.35975,5.9948297,10.5
1.36175,6.004117,10.5
1.36375,5.9948297,11.125
1.3657501,6.004117,11.125
1.36775,6.001795,11.125
1.36975,6.004117,11.125
1.37175,6.013404,11.125
1.37375,6.004117,11.875
1.3757501,6.02037,11.875
1.37775,6.0319786,11.875
1.37975,6.029657,11.875
1.38175,6.027335,11.875
1.38375,6.0412655,12.5
1.38575,6.029657,12.5
1.38775,6.0343003,12.5
1.38975,6.0343003,12.5
1.39175,6.038944,12.5
1.3937501,6.0459094,13.25
1.39575,6.0482306,13.25
1.39775,6.0528746,13.25
1.39975,6.0528746,13.25
1.40175,6.0505524,13.25
1.4037501,6.0598397,14
1.40575,6.0528746,14
1.40775,6.0598397,14
1.40975,6.0621614,14
1.41175,6.066805,14
1.41375,6.057518,14.75
1.41575,6.066805,14.75
1.41775,6.066805,14.75
1.41975,6.0714483,14.75
1.4217501,6.0714483,14.75
1.42375,6.0760922,15.5
1.42575,6.0830574,15.5
1.42775,6.0900226,15.5
1.42975,6.0900226,15.5
1.43175,6.094666,15.5
1.43375,6.0830574,16.375
1.43575,6.0969877,16.375
1.43775,6.094666,16.375
1.4397501,6.1016316,16.375
1.44175,6.1016316,16.375
1.44375,6.115562,17.125
1.44575,6.1109185,17.25
1.44775,6.1132402,17.25
1.4497501,6.1109185,17.25
1.45175,6.108597,17.25
1.45375,6.131815,18
1.45575,6.12485,18.125
1.45775,6.1271715,18.125
1.45975,6.1341367,18.125
1.46175,6.13878,18.125
1.46375,6.1364584,18.875
1.46575,6.13878,19
1.4677501,6.1411023,19
1.46975,6.1341367,19
1.47175,6.13878,19
1.47375,6.131815,19.875
1.47575,6.152711,19.875
1.4777501,6.1573544,19.875
1.47975,6.152711,19.875
1.48175,6.1573544,19.875
1.48375,6.1550326,20.75
1.48575,6.159676,20.75
1.48775,6.159676,20.75
1.48975,6.1712847,20.75
1.49175,6.173607,20.75
1.49375,6.1782503,21.625
1.4957501,6.187537,21.625
1.49775,6.1921806,21.625
1.49975,6.1921806,21.625
1.50175,6.1968246,21.625
1.50375,6.1921806,22.375
1.5057501,6.201468,22.5
1.50775,6.208433,22.5
1.50975,6.21772,22.5
1.51175,6.2153993,22.5
1.5137501,6.21772,23.375
1.51575,6.21772,23.375
1.51775,6.208433,23.375
1.51975,6.2130775,23.375
1.52175,6.208433,23.375
1.5237501,6.2061114,24.375
1.52575,6.21772,24.375
1.52775,6.21772,24.375
1.52975,6.21772,24.375
1.53175,6.2200418,24.375
1.53375,6.2223644,25.25
1.53575,6.2153993,25.25
1.53775,6.21772,25.25
1.53975,6.21772,25.25
1.5417501,6.2200418,25.25
1.54375,6.21772,26.25
1.54575,6.2200418,26.25
1.54775,6.21772,26.25
1.54975,6.2153993,26.25
1.5517501,6.210755,26.25
1.55375,6.208433,27.125
1.55575,6.208433,27.125
1.55775,6.2130775,27.125
1.55975,6.2153993,27.125
1.56175,6.2130775,27.125
1.56375,6.224686,28.125
1.56575,6.2130775,28.125
1.56775,6.201468,28.125
1.5697501,6.1968246,28.125
1.57175,6.1991463,28.125
1.57375,6.1991463,29
1.57575,6.1898594,29.125
1.57775,6.1898594,29.125
1.5797501,6.187537,29.125
1.58175,6.173607,29.125
1.58375,6.180572,30
1.58575,6.1550326,30
1.5877501,6.152711,30
1.58975,6.148067,30
1.59175,6.1457453,30
1.59375,6.1434236,30.875
1.59575,6.148067,31
1.5977501,6.1434236,31
1.59975,6.1341367,31
1.60175,6.131815,31
1.60375,6.1341367,31.875
1.60575,6.1271715,31.875
1.60775,6.1271715,31.875
1.60975,6.12485,31.875
1.61175,6.12485,31.875
1.61375,6.1202054,32.875
1.6157501,6.1202054,32.875
1.61775,6.1109185,32.875
1.61975,6.108597,32.875
1.62175,6.106275,32.875
1.62375,6.1039534,33.75
1.6257501,6.1132402,33.75
1.62775,6.1109185,33.75
1.62975,6.1109185,33.75
1.63175,6.1132402,33.75
1.63375,6.0993094,34.75
1.63575,6.1039534,34.75
1.63775,6.094666,34.75
1.63975,6.094666,34.75
1.64175,6.0993094,34.75
1.6437501,6.087701,35.625
1.64575,6.094666,35.625
1.64775,6.094666,35.625
1.64975,6.085379,35.625
1.65175,6.0830574,35.625
1.6537501,6.0760922,36.625
1.65575,6.0807357,36.625
1.65775,6.0807357,36.625
1.65975,6.087701,36.625
1.66175,6.085379,36.625
1.66375,6.078414,37.5
1.66575,6.0830574,37.5
1.66775,6.085379,37.5
1.66975,6.0830574,37.5
1.6717501,6.078414,37.5
1.67375,6.087701,38.375
1.67575,6.085379,38.375
1.67775,6.085379,38.375
1.67975,6.085379,38.375
1.68175,6.078414,38.375
1.68375,6.087701,39.375
1.68575,6.07377,39.375
1.68775,6.07377,39.375
1.6897501,6.0760922,39.375
1.69175,6.0760922,39.375
1.69375,6.085379,40.25
1.69575,6.0807357,40.25
1.69775,6.078414,40.25
1.6997501,6.07377,40.25
1.70175,6.069127,40.25
1.70375,6.0621614,41.25
1.70575,6.069127,41.25
1.70775,6.0760922,41.25
1.70975,6.078414,41.25
1.71175,6.0807357,41.25
1.71375,6.0760922,42.125
1.71575,6.0830574,42.125
1.7177501,6.078414,42.125
1.71975,6.0760922,42.125
1.72175,6.0760922,42.125
1.72375,6.0714483,43
1.72575,6.078414,43
1.7277501,6.0830574,43
1.72975,6.0830574,43
1.73175,6.087701,43
1.73375,6.087701,43.875
1.73575,6.0900226,43.875
1.73775,6.087701,43.875
1.73975,6.0923448,43.875
1.74175,6.094666,43.875
1.74375,6.106275,44.875
1.7457501,6.0993094,44.875
1.74775,6.1016316,44.875
1.74975,6.1039534,44.875
1.75175,6.1039534,44.875
1.75375,6.106275,45.75
1.7557501,6.108597,45.75
1.75775,6.1132402,45.75
1.75975,6.1202054,45.75
1.76175,6.1109185,45.75
1.7637501,6.115562,46.625
1.76575,6.1178846,46.625
1.76775,6.1109185,46.625
1.76975,6.115562,46.625
1.77175,6.1202054,46.75
1.7737501,6.1178846,47.5
1.77575,6.122527,47.5
1.77775,6.129493,47.5
1.77975,6.131815,47.5
1.78175,6.129493,47.625
1.78375,6.1364584,48.375
1.78575,6.1364584,48.375
1.78775,6.1434236,48.375
1.78975,6.148067,48.375
1.7917501,6.1573544,48.5
1.79375,6.1666417,49.25
1.79575,6.1759286,49.25
1.79775,6.1828938,49.25
1.79975,6.180572,49.25
1.8017501,6.1852155,49.375
1.80375,6.1921806,50.125
1.80575,6.187537,50.125
1.80775,6.201468,50.125
1.80975,6.210755,50.125
1.81175,6.2061114,50.25
1.81375,6.2130775,51
1.81575,6.2130775,51
1.81775,6.2153993,51
1.8197501,6.2153993,51
1.82175,6.2293296,51.125
1.82375,6.224686,51.875
1.82575,6.233973,51.875
1.82775,6.240938,51.875
1.8297501,6.24326,51.875
1.83175,6.240938,52
1.83375,6.245582,52.75
1.83575,6.2502255,52.75
1.8377501,6.254869,52.75
1.83975,6.2618346,52.75
1.84175,6.2641563,52.875
1.84375,6.273443,53.625
1.84575,6.2850523,53.625
1.8477501,6.287374,53.625
1.84975,6.294339,53.625
1.85175,6.3013043,53.875
1.85375,6.3152347,54.5
1.85575,6.3314877,54.5
1.85775,6.3454185,54.5
1.85975,6.357027,54.5
1.86175,6.357027,54.75
1.86375,6.3593493,55.375
1.8657501,6.3547053,55.375
1.86775,6.3547053,55.375
1.86975,6.3523836,55.375
1.87175,6.3547053,55.625
1.87375,6.361671,56.25
1.8757501,6.361671,56.25
1.87775,6.368636,56.25
1.87975,6.368636,56.25
1.88175,6.370958,56.5
1.88375,6.361671,57.125
1.88575,6.363992,57.125
1.88775,6.368636,57.125
1.88975,6.377923,57.125
1.89175,6.377923,57.375
1.8937501,6.3802447,58
1.89575,6.3848886,58
1.89775,6.38721,58
1.89975,6.3848886,58
1.90175,6.3756013,58.25
1.9037501,6.3848886,58.875
1.90575,6.3848886,58.875
1.90775,6.391854,58.875
1.90975,6.3941755,58.875
1.91175,6.391854,59.125
1.91375,6.3895316,59.75
1.91575,6.38721,59.75
1.91775,6.3802447,59.75
1.91975,6.3802447,59.75
1.9217501,6.38721,60.125
1.92375,6.3895316,60.625
1.92575,6.391854,60.625
1.92775,6.3941755,60.625
1.92975,6.391854,60.625
1.93175,6.4011407,61
1.93375,6.3848886,61.5
1.93575,6.382567,61.5
1.93775,6.377923,61.5
1.9397501,6.382567,61.5
1.94175,6.382567,61.875
1.94375,6.3964972,62.5
1.94575,6.3964972,62.5
1.94775,6.398819,62.5
1.9497501,6.398819,62.5
1.95175,6.3964972,62.875
1.95375,6.4034624,63.375
1.95575,6.408107,63.375
1.95775,6.4197154,63.375
1.95975,6.4290023,63.375
1.96175,6.4173937,63.75
1.96375,6.424359,64.25
1.96575,6.4290023,64.25
1.9677501,6.424359,64.25
1.96975,6.4313245,64.25
1.97175,6.4382896,64.625
1.97375,6.4359674,65.25
1.97575,6.4382896,65.25
1.9777501,6.4406114,65.25
1.97975,6.4359674,65.25
1.98175,6.4406114,65.5
1.98375,6.4382896,66.125
1.98575,6.4359674,66.125
1.98775,6.4290023,66.125
1.98975,6.4406114,66.125
1.99175,6.459185,66.625
1.99375,6.454542,67
1.9957501,6.454542,67
1.99775,6.456864,67
1.99975,6.461507,67
2.00175,6.461507,67.5
2.0037498,6.461507,67.875
2.00575,6.4684725,67.875
2.0077488,6.4754376,67.875
2.00975,6.4847245,67.875
2.01175,6.4777594,68.375
2.0137498,6.4963336,68.75
2.01575,6.5032997,68.75
2.0177488,6.500977,68.75
2.0197499,6.5056214,68.75
2.02175,6.5032997,69.25
2.0237489,6.51723,69.75
2.02575,6.524195,69.75
